Project Profile,Notes/Assumptions,Contributions,Base Variables ,Baseline,P1 Adjusted variables ,P1 financing savings,P2 Adjusted Variable ,"P2 Fees, Permiting & Tax",P3 Adjusted variables,P3 Non-podium,P4 Adjusted variables,P4 free land,P5 Adjusted variables2,P5 All savings,P3 Adjusted variables2,P3 Podium High commercial 
Total ft^2,,,,64045,,62632,,62632,,47250,,62632,,47250,,47250
Residential ft2,,,,60000,,58587,,58587,,46000,,58587,,46000,,41000
Non-residential  ft2,,,,4045,,4045,,4045,,1250,,4045,,1250,,6250
Land Area,,,,15000,,15000,,15000,,15000,,15000,,15000,,15000
# of Floors,,,,6,,6,,6,,5,,6,,5,,4
PSH Units,,,,102,,102,,102,,80,,102,,80,,56
CA Units,,,,3,,3,,3,,2,,3,,2,,8
Units total,,,,105,,105,,105,,82,,105,,82,,64
Acquisition - Construction (Months),,,,20,,20,,20,,20,,20,,20,,20
Construction - C/O (Months),,,,16,,16,,16,,14,,16,,14,,14
Total Project Duration ,,,,36,,36,,36,,34,,36,,34,,34
Time to full lease ,,,,8,,8,,8,,8,,8,,8,,8
Total Project Cost,,,,35440771.51,,33169549.95,,31090190.53,,20787629.3,,31705071.96,,15611894.61,,24386514.6
Project Cost/Unit,,,,337531.1573,,315900.4757,,296097.0527,,253507.6744,,301953.0663,,190388.9587,,381039.2906
Project Opporating costs / year ,"$13,000 for opporating + $8,000 if services needed, Uinique for remote sites",,,21000,,21000,,21000,,21000,,21000,,21000,,266307.8125
Acquisition,,,0.104521998,,0.1,,0.1,,0.104521998,,0.104521998,,0.104521998,,0.1,
Land,Cost =Land sqft*cost/sqft= (Total sqft/Floors)*$300/sqft,Scales ,210,3150000,210,3150000,210,3150000,210,3150000,0,0,0,0,240,3600000
Existing Structure,Data Needed,,0,,0,,0,,0,,0,,0,,0,
Construction,,,0.004479873,,0.004479873,,0.004479873,,0.004479873,,0.004479873,,0.004479873,,0.004479873,
Pre Construction Services,if included ~$100k + 5x land sqft,Unique,100000,153370.8333,100000,152193.3333,100000,152193.3333,25000,72250,100000,152193.3333,25000,72250,100000,159062.5
Demo,if included ~$50K,Unique,50000,50000,50000,50000,50000,50000,0,0,50000,50000,0,0,50000,50000
General Contractor Costs: Roll below values up,Sum section below to this line + missing costs ,,Avg margin ,19368370,Avg margin ,18964252,contractor margin -~1%,18774609.48,Avg Margin,10686100,Avg margin ,18964252,'contractor margin -~1%,10579239,Avg margin,13443700
New Building,Total sqft * cost per square foot ~$260,Scales ,280,17932600,280,17536960,280,17536960,200,9450000,280,17536960,200,9450000,260,12285000
Rehab,Data Needed If Acquisition of existing structure ~??? *structure cost,Unique,0.006906933,,0.006906933,,0.006906933,,0.006906933,,0.006906933,,0.006906933,,0.006906933,
Furnishings,~$2100*Number of units,Scales ,2100,220500,2100,220500,2100,220500,2100,172200,2100,220500,2100,172200,2100,134400
Appliances,~2200*Number of units,Scales ,2200,231000,2200,231000,2200,231000,2200,180400,2200,231000,2200,180400,2200,140800
Site Work/Infrastructure,Data Needed,,0.011085394,,0.011085394,,0.011085394,,0.011085394,,0.011085394,,0.011085394,,0.011085394,
Flooring,~6$ * total Sqft,Scales ,6,384270,6,375792,6,375792,6,283500,6,375792,6,283500,6,283500
Land Improvements,Data Needed,Unique,0,,0,,0,,0,,0,,0,,0,
Off site infrastructure,Data Needed,,0,,0,,0,,0,,0,,0,,0,
