"","X","PermitNum","PermitClass","BLA","Age","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1","Where.on.your.property.are.you.working..","Choose.the.Primary.Property.Use.","Project.Value.","Review.Level.","Application.Completed.Date.","Permit.Issued.Date.","Inspections.Completed.Date.","Certificate.of.Occupancy.Issued.Date.","Intake.Value..New.","Intake.Value..Alteration.","Total.Intake.Value.","Issue.Value..New.","Issue.Value..Alteration.","Total.Issued.Value.","What.building.code.was.used.for.your.design..","Specific.Building.Code.","Action.Type.","Number.of.Proposed.Building.Stories.","Number.of.Proposed.Below.Grade.Building.Stories.","Number.of.Mezzanines.","Will.you.change.the.building.use.or.occupancy..","Does.your.project.qualify.for.our.Priority.Green.Incentive.program..","Is.a.certificate.of.occupancy.required..","Land.Disturbing.Activity.","Are.you.doing.more.than.2.000.square.feet.of.earth.disturbance...","Number.of.Curb.Cuts.for.This.Permit.","Units.Occupancy.","Waste.Diversion.Plan.Required.","Are.Emergency.Systems.Required.for.this.Project..","Does.your.project.include.an.HVAC.mechanical.system..","Reuse.Existing.Side.Sewer.System.","Is.this.a.substantial.alteration..","Number.of.Existing.Building.Stories.","Number.of.Existing.Below.Grade.Building.Stories.","Sprinklers.Meet.NFPA.13.","Is.work.in.the.right.of.way..street.or.alley..required..","Total.Revision.Value.","Are.you.changing.the.envelope..","Is.this.a.high.rise..","Main.Existing.Use.of.Building.","Existing.Occupancy.","Will.your.application.include.a.new.standard.plan..","Will.your.project.have.ground.disturbance..","Sprinklers.Meet.NFPA.13R.","Partial.Fire.Protection.System.","Fire.Alarm.","Other.Fire.Protection.System.","Is.any.portion.of.the.building.semi.heated.or.unheated..","Compliance.Category.","Is.there.a.commercial.kitchen.hood.exhaust.system..","Is.there.a.fume.hood..","Is.there.a.spray.paint.booth..","Describe.any.other.mechanical.systems.to.be.installed.as.part.of.this.project..","Compliance.Path.","AFUE.Efficiency..percentage..","HSPF.Efficiency..percentage..","Heating.Fuel.Type.Proposed..Residential.","Request.Type.","Hansen.APNO.","Hansen.APKEY.","Survey.Submittal.Required..","Soils.Report.Required..","Wetlands.Report.Required.","ECA.Review.Required..","Riparian.Wetland.Buffer..square.feet..","Steep.Slope.Area.Buffer..square.feet..","Sequencing.Required.","What.is.the.amount.of.ground.disturbance..","I..the.owner.or.owner.s.authorized.representative.of.the.property.referenced.in.this.submission..give.the.City.of.Seattle.Department.of.Planning.and.Development.permission.to.conduct.a.Pre.Application.Site.Visit..I.agree.that..1..electronic.filing.constitutes.an.authorizing.signature..2..I.will.inform.all.tenants.of.the.site.visit.prior.to.the.inspection.being.conducted..and.3..if.conditions.such.as.uncontrolled.dogs.or.uncooperative.tenants.hinder.the.inspector.s.ability.to.conduct.the.site.visit..the.site.visit.will.not.occur.and.the.site.visit.fee.may.be.forfeited...","Type.of.Demolition.","Is.this.the.first.time.this.area.is.being.improved.or.built.out.since.the.building.was.completed..","Total.Area.of.Work..square.feet..","Actual.Construction.Value."
"1",2,"6678176-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2020-02-28",NA,"Issued","4016 DENSMORE AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6678176-CN",47.65620232,-122.33722236,"4016 DENSMORE AVE N
SEATTLE, WA 98103
(47.65620232, -122.33722236)","basement","Single Family/Duplex",27000,"Field","07/16/2018","08/28/2018","","",0,27000,27000,0,27000,27000,"2015 SRC","","Add/Alt",0,0,0,"No","","No","","",NA,"Unit(s) Occupied by Property Owner","No","","No","","No",1,1,"No","No",0,"No","No","Residential","R-3 Single Family Dwelling","No","No","No","No","No","Yes","Yes","Residential","No","No","No","none","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"2",18,"6639010-CN",NA,1,NA,NA,"Building","",NA,1,0,1,NA,"",NA,"2020-03-13",NA,"Completed","11350 34TH AVE NE","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6639010-CN",47.71167247,-122.29172885,"11350 34TH AVE NE
SEATTLE, WA 98125
(47.71167247, -122.29172885)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"3",35,"6748985-DM",NA,1,NA,NA,"Demolition","",NA,1,1,7,NA,"",NA,"",NA,"Additional Info Requested","6035 42ND AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6748985-DM",47.54737569,-122.38597216,"6035 42ND AVE SW
SEATTLE, WA 98136
(47.54737569, -122.38597216)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4",49,"6721111-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2020-10-28",NA,"Completed","2847 NW 73RD ST","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721111-CN",47.68150061,-122.39510975,"2847 NW 73RD ST
SEATTLE, WA 98117
(47.68150061, -122.39510975)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"5",60,"6679578-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"",NA,"Additional Info Requested","7611 WEST GREEN LAKE DR N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6679578-CN",47.68399662,-122.34008806,"7611 WEST GREEN LAKE DR N
SEATTLE, WA 98103
(47.68399662, -122.34008806)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"6",67,"6728973-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"",NA,"Withdrawn","3952 S HUDSON ST","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6728973-CN",47.55722888,-122.28127621,"3952 S HUDSON ST
SEATTLE, WA 98118
(47.55722888, -122.28127621)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"7",69,"6705227-DM",NA,1,NA,NA,"Demolition","",NA,4,4,94,NA,"",NA,"",NA,"Additional Info Requested","841 NE 68TH ST","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6705227-DM",47.67784501,-122.31833067,"841 NE 68TH ST
SEATTLE, WA 98115
(47.67784501, -122.31833067)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"8",160,"6723286-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2020-12-25",NA,"Issued","1508 MCGILVRA BLVD E","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6723286-CN",47.63249587,-122.28098988,"1508 MCGILVRA BLVD E
SEATTLE, WA 98112
(47.63249587, -122.28098988)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"9",161,"6755033-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2021-05-25",NA,"Completed","6536 DIBBLE AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6755033-CN",47.67704234,-122.36737794,"6536 DIBBLE AVE NW
SEATTLE, WA 98117
(47.67704234, -122.36737794)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"10",164,"6701063-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"",NA,"Ready for Issuance","5534 30TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6701063-CN",47.66953917,-122.29476666,"5534 30TH AVE NE
SEATTLE, WA 98105
(47.66953917, -122.29476666)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
